IB1a;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;Technische Informatik 1;Mathematik 1 Labor;Mathematik 1;;
;;;E304;LI141;E201;;
;;;Hoffmann, Sutterer;Schaefer;Schaefer;;
09:50-11:20;Theoretische Informatik 1;;Mathematik 1;Fremdsprachen;Mathematik 1 Labor;;
;E302;;E303;E203;LI136;;
;Körner;;Schaefer;;Schaefer;;
11:30-13:00;Informatik 1 Übung;;;Fremdsprachen;Informatik 1;;
;LI008;;;E203;E201;;
;Pape;;;;Pape;;
14:00-15:30;;Theoretische Informatik 1;;Technische Informatik 1;;;
;;E305;;E302;;;
;;Körner;;Hoffmann, Sutterer;;;
15:40-17:10;Technische Informatik 1 Übung;;;Informatik 1;;;
;E201;;;E304;;;
;Hoffmann, Sutterer;;;Pape;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB1b;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;Mathematik 1 Labor;Informatik 1;;Technische Informatik 1;;
;;LI141;E301;;E302;;
;;Schaefer;Pape;;Hoffmann, Sutterer;;
09:50-11:20;Informatik 1 Übung;Mathematik 1;Technische Informatik 1;Mathematik 1;Informatik 1;;
;LI141;E303;E203;E303;E303;;
;Pape;Schaefer;Hoffmann, Sutterer;Schaefer;Pape;;
11:30-13:00;Theoretische Informatik 1;Fremdsprachen;;Mathematik 1 Labor;Theoretische Informatik 1;;
;E213;E304;;LI137;E305;;
;Körner;;;Schaefer;Körner;;
14:00-15:30;Technische Informatik 1 Übung;Fremdsprachen;;;;;
;E203;E304;;;;;
;Hoffmann, Sutterer;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB2;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Web-Programming;;;Sprachen und Metasprachen;Informatik 2 Übung;;
;E203;;;E302;E303;;
;Pape;;;Körner;Vogelsang, Weidner;;
09:50-11:20;;Mathematik 2 Labor;Technische Informatik 2;Informatik 2 Übung;Mathematik 2;;
;;E301;E201;E304;E201;;
;;Laubenheimer;Ditzinger;Vogelsang, Weidner;Laubenheimer;;
11:30-13:00;Digital-Labor;Technische Informatik 2;;Softwarelabor;;;
;E301;E303;;E304;;;
;Ditzinger, Link;Ditzinger;;;;;
14:00-15:30;Digital-Labor;Softwarelabor;;Softwarelabor;Informatik 2;;
;E301;E213;;E304;E305;;
;Ditzinger, Link;;;;Vogelsang;;
15:40-17:10;Digital-Labor;Softwarelabor;;Informatik 2;;;
;E301;E213;;E302;;;
;Ditzinger, Link;;;Vogelsang;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB3a;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;BWL;DB1 und K-Netze1;Automatisierung;DB1 und K-Netze1;Automatisierung;;
;E301;E301;E303;E303;E301;;
;Haneke;Gmeiner, Steiniger;Budwitz;Gmeiner, Steiniger;Budwitz;;
09:50-11:20;BWL;Systemnah. Progr.;Systemnah. Progr.;Mensch-Maschine-Kommunikation;;;
;E213;LI141;LI141;E213;;;
;Haneke;Fuchß;Fuchß;Mussgnug;;;
11:30-13:00;Systemnah. Progr.;DB-Praktikum;;Mensch-Maschine-Kommunikation;Automat. Labor;;
;LI137;E203;;E213;E302;;
;Fuchß;Steiniger;;Mussgnug;Budwitz;;
14:00-15:30;;DB-Praktikum;DB1 und K-Netze1;;Automat. Labor;;
;;E203;E305;;E302;;
;;Steiniger;Gmeiner, Steiniger;;Budwitz;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IB3b;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Mensch-Maschine-Kommunikation;Automat. Labor;DB-Praktikum;Systemnah. Progr.;;;
;E201;E213;E302;LI137;;;
;Mussgnug;Budwitz;Steiniger;Fuchß;;;
09:50-11:20;Mensch-Maschine-Kommunikation;Automat. Labor;DB-Praktikum;DB1 und K-Netze1;;;
;E201;E213;E302;E301;;;
;Mussgnug;Budwitz;Steiniger;Gmeiner, Steiniger;;;
11:30-13:00;DB1 und K-Netze1;BWL;;BWL;;;
;E302;E305;;E302;;;
;Gmeiner, Steiniger;Haneke;;Haneke;;;
14:00-15:30;Systemnah. Progr.;Automatisierung;Automatisierung;;;;
;LI141;E301;E213;;;;
;Fuchß;Budwitz;Budwitz;;;;
15:40-17:10;;;Systemnah. Progr.;;;;
;;;LI141;;;;
;;;Fuchß;;;;
17:20-18:50;;;DB1 und K-Netze1;;;;
;;;E303;;;;
;;;Gmeiner, Steiniger;;;;
;;;;;;;
;;;;;;;
IB4;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;Praxisvorbereitung;Praxisnachbereitung;;;;
;;E302;E213;;;;
;;Körner, Thielemann;Morgenstern;;;;
09:50-11:20;;Praxisvorbereitung;;Praxisvorbereitung;;;
;;E302;;E201;;;
